,event_hash,variable,place_hash,name_cleaner_a,name_cleaner_b,rex_match,string_dist_osa
15274,9c2a8af0221d4cf3,V3,faae68216ea39310,6,kanyenyaini,0,11
15273,9c2a8af0221d4cf3,V2,7f65bd7a126c1e98,6,kiruri,0,6
15275,9c2a8af0221d4cf3,V6,db901490c0448cc9,6,maragwa,0,7
9852,5dba3c3d822c759f,V8,0210de4fe22e6437,01  magogo,biazi,0,9
9849,5dba3c3d822c759f,V3,d339ecca65b9e5ef,01  magogo,pardoes farm,0,12
632,04df5cd5fa31c2b1,V10,2912605fa9dc9980,01 arabel,muthiga,0,9
627,04df5cd5fa31c2b1,V3,981498935b3278fe,01 arabel,north of lariak forest,0,17
631,04df5cd5fa31c2b1,V9,228180d162d84993,01 arabel,oberholtzer,0,10
630,04df5cd5fa31c2b1,V8,90f85e1c72cad72a,01 arabel,oberholzer,0,9
629,04df5cd5fa31c2b1,V5,0064f10df86202d0,01 arabel,tandare,0,7
626,04df5cd5fa31c2b1,V2,03519bb60edaa19e,01 arabel,tandare mixed secondary school,0,26
628,04df5cd5fa31c2b1,V4,deb87f6e34a1fa3a,01 arabel,tandare primary school,0,18
16793,afe181acaa86c6df,V4,c5994f137ff2eb5d,01 joro orok,allisons farm,0,11
6932,3ee47fbe06f3f502,V3,c7fed39379428f27,01 joro orok,corbett,0,10
8534,4f7a21e23912c8c9,V3,c0a9ac61c548ff56,01 joro orok,gituandaga,0,12
8540,4f7a21e23912c8c9,V9,2d71fe6b05ac58d7,01 joro orok,hurts farm,0,11
8538,4f7a21e23912c8c9,V7,5622f6abba3f0b2b,01 joro orok,il polosat forest  reserve,0,20
8536,4f7a21e23912c8c9,V5,d4244d46019e1eab,01 joro orok,il polosat forest reserve,0,19
6936,3ee47fbe06f3f502,V9,ddd0d2abea2552b8,01 joro orok,kibikoni,0,11
8535,4f7a21e23912c8c9,V4,49c6b61dff68e384,01 joro orok,marmanet,0,11
16795,afe181acaa86c6df,V7,1625451c6acedc46,01 joro orok,matindiri,0,11
16794,afe181acaa86c6df,V5,d516ea22966ad2c3,01 joro orok,matindiri settlement,0,18
16796,afe181acaa86c6df,V9,a1f91ca9289b9964,01 joro orok,matindirisettlement,0,18
8533,4f7a21e23912c8c9,V2,07bacac6ddf0697a,01 joro orok,north,0,10
8537,4f7a21e23912c8c9,V6,389f738e34c0018d,01 joro orok,ol bolossat forest,0,12
8541,4f7a21e23912c8c9,V10,bb1e29e9b4feface,01 joro orok,olbolossat forest,0,13
6937,3ee47fbe06f3f502,V10,e138850d116d70da,01 joro orok,oleoponda estate,0,14
6934,3ee47fbe06f3f502,V5,9458d65802f60493,01 joro orok,oraimutia farm,0,13
6935,3ee47fbe06f3f502,V8,ef3838a2546dafa7,01 joro orok,rhiwerfa farm,0,11
16790,afe181acaa86c6df,V1,7922ec9d3656470a,01 joro orok,sabugu,0,12
16792,afe181acaa86c6df,V3,b599190ce983f8fa,01 joro orok,sabugu east,0,11
16797,afe181acaa86c6df,V10,bb0f318625aeaddc,01 joro orok,sabugu estates,0,14
8539,4f7a21e23912c8c9,V8,d236d766d6622a1c,01 joro orok,shah patels saw mill,0,18
16791,afe181acaa86c6df,V2,aece055f765c04d0,01 joro orok,subugu,0,12
