word_clean,global_word_number_max,global_word_frequency,global_word_number_max_average,global_word_position_mean,global_word_position_fromend_mean,global_word_clean_integer
,1,1,1,1,0,2
,3,1,3,1,2,3
,3,2,3,2.5,0.5,4
\\',7,24,9.16666666666667,6,3.16666666666667,39
deepest,7,1,7,3,4,4861
video,7,61,3.34426229508197,2.36065573770492,0.983606557377049,32753
showz,7,1,7,5,2,30090
(,3,220,6.96363636363636,3.72727272727273,3.23636363636364,28
nyati,3,3,2,1.33333333333333,0.666666666666667,26059
),3,249,6.60240963855422,6.05622489959839,0.546184738955823,29
-,1,3209,4.19476472421315,2.92583359301963,1.26893113119352,6
.,1,387,5.31007751937985,3.28165374677003,2.02842377260982,26
01,3,7,2.42857142857143,1.28571428571429,1.14285714285714,52
0,3,114,4.59649122807018,2.73684210526316,1.85964912280702,49
magogo,3,4,2,1.75,0.25,19141
arabel,2,4,3,2.25,0.75,1277
joro,3,5,3.2,2,1.2,10223
orok,3,14,2.78571428571429,2.28571428571429,0.5,27271
kalau,2,3,3,2,1,11210
0ngielo,3,2,3,1,2,78
road,3,1533,2.81539465101109,2.6986301369863,0.116764514024788,28761
r1,3,4,3,3,0,28233
r3,3,3,3,3,0,28240
1,6,131,3.19847328244275,2.75572519083969,0.442748091603053,79
mile,6,8,3.875,1.625,2.25,21075
east,6,144,3.02083333333333,1.96527777777778,1.05555555555556,5460
of,6,378,5.16931216931217,2.82539682539683,2.34391534391534,26325
kagumo,6,7,2.85714285714286,1.85714285714286,1,10790
forest,6,467,2.67880085653105,2.22055674518201,0.458244111349036,6733
nr,6,6,3.16666666666667,1.33333333333333,1.83333333333333,25522
njukini,6,2,4,3.5,0.5,25339
w.of,4,2,4,2,2,32882
bariaho,4,1,4,4,0,1878
west,5,168,2.89285714285714,1.81547619047619,1.07738095238095,33384
barioho,5,1,5,5,0,1889
107,1,1,1,1,0,83
108,1,1,1,1,0,84
109,1,1,1,1,0,85
10th,2,2,2,1,1,86
campus,2,40,4.2,3.9,0.3,3146
street,2,127,2.28346456692913,2.21259842519685,0.0708661417322835,30863
110,1,1,1,1,0,88
11th,2,2,2,1,1,91
12,3,10,2.8,2.3,0.5,92
km,3,1,3,2,1,15780
run,3,1,3,3,0,29013
124,2,1,2,1,1,95
mathare,2,70,3.54285714285714,1.15714285714286,2.38571428571429,20199
12th,2,2,2,1,1,96
13th,2,1,2,1,1,101
14,3,13,3.23076923076923,2.69230769230769,0.538461538461538,102
falls,3,58,2.3448275862069,2.12068965517241,0.224137931034483,6541
141,6,1,6,1,5,104
community,6,166,3.89156626506024,2.21686746987952,1.67469879518072,4362
toilet,6,44,3.56818181818182,3.09090909090909,0.477272727272727,31856
/,6,234,3.99145299145299,2.55982905982906,1.43162393162393,33
rotary,6,2,4.5,3,1.5,28879
international,6,48,3.875,2.3125,1.5625,9616
14th,3,2,2.5,1,1.5,105
15th,2,2,2,1,1,107
16th,2,2,2,1,1,109
1760,2,1,2,1,1,111
m,2,19,3.68421052631579,1.89473684210526,1.78947368421053,18898
17th,2,1,2,1,1,112
18th,2,1,2,1,1,114
1998,4,1,4,1,3,117
bomb,4,1,4,2,2,2455
blast,4,1,4,3,1,2324
memorial,4,19,3.89473684210526,2.89473684210526,1,20780
19th,2,1,2,1,1,118
1n,1,1,1,1,0,126
1s,1,1,1,1,0,127
1st,2,9,2.66666666666667,1.11111111111111,1.55555555555556,128
avenue,2,90,2.54444444444444,2.35555555555556,0.188888888888889,1562
lane,2,140,2.09285714285714,2.05714285714286,0.0357142857142857,17184
ngong,3,56,3.17857142857143,1.71428571428571,1.46428571428571,25022
parklands,3,17,2.64705882352941,1.64705882352941,1,27565
tower,3,30,2.63333333333333,2.16666666666667,0.466666666666667,31962
loop,3,1,3,3,0,18424
2,2,172,3.32558139534884,3.0406976744186,0.284883720930233,129
basketball,2,8,3.125,2.375,0.75,1973
nd,3,1,3,2,1,24320
2.5,4,1,4,1,3,130
miles,4,10,4.3,1.6,2.7,21080
w.loc.12,4,1,4,3,1,32881
murungaini,4,2,2.5,2.5,0,22667
20,3,5,2.8,2.2,0.6,133
acres,3,4,3,2,1,491
village,3,202,3.6980198019802,2.55445544554455,1.14356435643564,32781
20th,3,2,2.5,1,1.5,137
century,3,2,2.5,2,0.5,3291
plaza,3,54,2.35185185185185,2.22222222222222,0.12962962962963,27874
226,1,1,1,1,0,140
24hrs,2,1,2,1,1,143
clinic,2,229,3.50655021834061,3.2882096069869,0.218340611353712,4274
2gether,1,1,1,1,0,151
2n,1,1,1,1,0,152
2nd,3,8,2.625,1.125,1.5,153
peak,2,21,2.04761904761905,2.04761904761905,0,27653
2s,1,1,1,1,0,154
3,2,69,3.15942028985507,2.78260869565217,0.376811594202899,155
barz,2,1,2,2,0,1955
in,4,23,5.65217391304348,4.21739130434783,1.43478260869565,9513
one,4,53,3.45283018867925,2.52830188679245,0.924528301886792,27104
pub,4,133,2.56390977443609,2.44360902255639,0.120300751879699,28120
south,6,199,2.93467336683417,1.60301507537688,1.33165829145729,30672
kutu,6,2,3.5,3,0.5,16655
