gettyid,prefLabel,altLabel,placeType,parentString,parentStringAbbrev,placeTypeNonPreferred,prefLabelGVP,latitude,longitude
1001654," ""Central"" ."," ""Central Province"" .", <http://vocab.getty.edu/aat/300387064; <http://vocab.getty.edu/aat/300387179; <http://vocab.getty.edu/aat/300000774," ""Kenya, Africa, World"" ."," ""Kenya, Africa, World"" .", <http://vocab.getty.edu/aat/300387064; <http://vocab.getty.edu/aat/300000774, <http://vocab.getty.edu/tgn/term/1799, -.75, 37
1001656," ""Coast"" ."," ""Coast Province"" .", <http://vocab.getty.edu/aat/300387064; <http://vocab.getty.edu/aat/300387179; <http://vocab.getty.edu/aat/300000774," ""Kenya, Africa, World"" ."," ""Kenya, Africa, World"" .", <http://vocab.getty.edu/aat/300387064; <http://vocab.getty.edu/aat/300000774, <http://vocab.getty.edu/tgn/term/1801, -2, 39.75
1001664," ""Eastern"" ."," ""Eastern Province"" .; ""Eastern Region"" .", <http://vocab.getty.edu/aat/300387064; <http://vocab.getty.edu/aat/300387179; <http://vocab.getty.edu/aat/300000774," ""Kenya, Africa, World"" ."," ""Kenya, Africa, World"" .", <http://vocab.getty.edu/aat/300387064; <http://vocab.getty.edu/aat/300000774, <http://vocab.getty.edu/tgn/term/1809, .0833, 38
1001721," ""North Eastern"" ."," ""North-Eastern Province"" .", <http://vocab.getty.edu/aat/300387064; <http://vocab.getty.edu/aat/300387179; <http://vocab.getty.edu/aat/300000774," ""Kenya, Africa, World"" ."," ""Kenya, Africa, World"" .", <http://vocab.getty.edu/aat/300387064; <http://vocab.getty.edu/aat/300000774, <http://vocab.getty.edu/tgn/term/1869, 1, 40.25
1001726," ""Nyanza"" ."," ""Nyanza Province"" .", <http://vocab.getty.edu/aat/300387064; <http://vocab.getty.edu/aat/300387179; <http://vocab.getty.edu/aat/300000774," ""Kenya, Africa, World"" ."," ""Kenya, Africa, World"" .", <http://vocab.getty.edu/aat/300387064; <http://vocab.getty.edu/aat/300000774, <http://vocab.getty.edu/tgn/term/1874, -.5, 34.5
1001738," ""Rift Valley"" ."," ""Rift Valley Province"" .", <http://vocab.getty.edu/aat/300387064; <http://vocab.getty.edu/aat/300387179; <http://vocab.getty.edu/aat/300000774," ""Kenya, Africa, World"" ."," ""Kenya, Africa, World"" .", <http://vocab.getty.edu/aat/300387064; <http://vocab.getty.edu/aat/300000774, <http://vocab.getty.edu/tgn/term/1886, .5, 36
1001772," ""Western"" ."," ""Western Province"" .", <http://vocab.getty.edu/aat/300387064; <http://vocab.getty.edu/aat/300387179; <http://vocab.getty.edu/aat/300000774," ""Kenya, Africa, World"" ."," ""Kenya, Africa, World"" .", <http://vocab.getty.edu/aat/300387064; <http://vocab.getty.edu/aat/300000774, <http://vocab.getty.edu/tgn/term/1921, .5, 34.5833
1006755," ""Central Island"" .",, <http://vocab.getty.edu/aat/300008791," ""Turkana, Kenya, Africa, World"" ."," ""Turkana, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/6944,,
1008015," ""Manda Island"" .",, <http://vocab.getty.edu/aat/300008791," ""Lamu, Kenya, Africa, World"" ."," ""Lamu, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/8223,,
1008140," ""Mfangano Island"" ."," ""Mfanganu Island"" .", <http://vocab.getty.edu/aat/300008791," ""Homa Bay, Kenya, Africa, World"" ."," ""Homa Bay, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/8348,,
1008379," ""North Island"" .",, <http://vocab.getty.edu/aat/300008791," ""Kenya, Africa, World"" ."," ""Kenya, Africa, World"" .",, <http://vocab.getty.edu/tgn/term/8590, 4.061558, 36.047445
1008546," ""Pate Island"" .",, <http://vocab.getty.edu/aat/300008791," ""Lamu, Kenya, Africa, World"" ."," ""Lamu, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/8762,,
1009226," ""South Island"" .",, <http://vocab.getty.edu/aat/300008791," ""Marsabit, Kenya, Africa, World"" ."," ""Marsabit, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/9452,,
1011483," ""Ngomeni, Ras"" ."," ""Ras Ngomeni"" .", <http://vocab.getty.edu/aat/300387499," ""Kilifi, Kenya, Africa, World"" ."," ""Kilifi, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/11753,,
1090427," ""Archers Post"" ."," ""Archer's Post"" .", <http://vocab.getty.edu/aat/300008347," ""Isiolo, Kenya, Africa, World"" ."," ""Isiolo, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91330, .65, 37.6833
