id,type,wikidata_name_first,wikidata_name,mainsnak.property_text,wikidata_description_first,wikidata_description,wikidata_name2_first,wikidata_name2,mainsnak.datavalue.value.latitude,mainsnak.datavalue.value.longitude
Q534358$42E37B36-4D8A-4CEF-97C4-E6363141DD96,statement,zh-hans_汉莎航空540号班机空难,zh-hans_汉莎航空540号班机空难;zh-hant_漢莎航空540號班機空難;zh-hk_漢莎航空540號班機空難;de_Lufthansa-Flug 540;ja_ルフトハンザドイツ航空540便墜落事故;vi_Chuyến bay 540 của Lufthansa;fr_Vol 540 Lufthansa;en_Lufthansa Flight 540;zh_漢莎航空540號班機空難;ru_Катастрофа Boeing 747 в Найроби;ar_لوفتهانزا الرحلة 540,coordinate location,,,zh_德国汉莎航空公司540航班,zh_德国汉莎航空公司540航班;zh_德國漢莎航空540號班機空難;zh_德國漢莎航空540號班機,-1.31917,36.9275
Q5516177$AE8AE8FB-0B9A-4004-83AD-8C1AD0D4BEEB,statement,en_Gacharage,en_Gacharage,coordinate location,,,,,-0.75,36.88
Q5516204$71121EE6-A05C-46BA-9130-9BB69622772F,statement,en_Gachichi,en_Gachichi;nl_Gachichi,coordinate location,,,,,-0.57,36.92
Q5516221$08BB98F3-07F5-47B3-856F-516B8864706A,statement,en_Gachoiri,en_Gachoiri;nl_Gachoiri,coordinate location,,,,,-0.98,36.73
Q5516239$5F499189-054E-45D4-BE71-2BE59A37DE91,statement,en_Gacogu,en_Gacogu;nl_Gacogu,coordinate location,,,,,-0.72,37.42
Q5517383$436231C2-F32D-40C7-A683-8F6ACB4089A9,statement,en_Gaithece,en_Gaithece;nl_Gaithece,coordinate location,,,,,-1,36.9
Q5517659$AB095049-82CD-47F9-BC6A-056884F612BF,statement,en_Gakanga,en_Gakanga;nl_Gakanga,coordinate location,,,,,-0.43,36.83
Q5526948$F0D3D46F-FE56-4CD8-A5DA-E873DE86426D,statement,en_Gatare,en_Gatare;nl_Gatare,coordinate location,,,,,-0.73,36.77
Q5527335$C5483C86-AA33-4A25-8E40-5E7560373418,statement,en_Gathagi,en_Gathagi;nl_Gathagi,coordinate location,,,,,-1.05,36.92
Q5527336$42A9E61D-C63D-453E-B85E-4E07AA2DC152,statement,en_Gathaithi,en_Gathaithi;nl_Gathaithi,coordinate location,,,,,-0.75,36.92
